"attribute","metric","value"
"meanHs","RSquared",0.261314439573162
"meanHs","Agreement",0.627459146771068
"meanHs","Efficiency",0.249930441750721
"meanHs","PercentPeakDeviation",-56.8538376461123
"meanHs","RMSE",0.498876363220807
"meanHs","MAE",0.35232891769574
"Hmax","RSquared",0.298893156939511
"Hmax","Agreement",0.634505755914163
"Hmax","Efficiency",0.290315106442792
"Hmax","PercentPeakDeviation",-47.6466899465471
"Hmax","RMSE",1.13145426053447
"Hmax","MAE",0.78538765681851
"meanTz","RSquared",0.186577902981496
"meanTz","Agreement",0.567163756366821
"meanTz","Efficiency",0.18045667196768
"meanTz","PercentPeakDeviation",-46.8524847981585
"meanTz","RMSE",1.19095574669613
"meanTz","MAE",0.845250328690121
"meanTp","RSquared",0.139995221407285
"meanTp","Agreement",0.487006537368232
"meanTp","Efficiency",0.123218296248572
"meanTp","PercentPeakDeviation",-30.6765402938112
"meanTp","RMSE",1.95553137342139
"meanTp","MAE",1.58276107230978
"meanDirTp","RSquared",0.348827018218769
"meanDirTp","Agreement",0.70533763419857
"meanDirTp","Efficiency",0.34797579864778
"meanDirTp","PercentPeakDeviation",-41.2217682796732
"meanDirTp","RMSE",20.8732331002138
"meanDirTp","MAE",15.2294540304798
"meanSST","RSquared",0.304499231288422
"meanSST","Agreement",0.655607686257996
"meanSST","Efficiency",0.297396425870235
"meanSST","PercentPeakDeviation",-1.14374447190293
"meanSST","RMSE",2.87344766399954
"meanSST","MAE",1.41702323808575
